,id,food_entity,disease_entity,sentence,disease_doid,is_cause,is_treat,work_sentence
304,304,high fructose corn syrup sweetened soft drink ,asthma,high fructose corn syrup (hfcs) sweetened soft drink intake has been linked with asthma in us high-schoolers.,DOID:2841,1.0,0.0,high fructose corn syrup (hfcs) sweetened soft drink intake has been linked with asthma in us high-schoolers.
305,305,yeast,bronchitis,individuals having occupational chronic bronchitis and healthy individuals--both working at yeast hydrolysis production--demonstrated increase in b,DOID:6132,0.0,0.0,individuals having occupational chronic bronchitis and healthy individuals--both working at yeast hydrolysis production--demonstrated increase in b
306,306,onion,dermatitis,"onion (allium cepa) handling can induce contact dermatitis, rhinoconjunctivitis and asthma",DOID:2723,1.0,0.0,"onion (allium cepa) handling can induce contact dermatitis, rhinoconjunctivitis and asthma"
307,307,peanut,eczema,"eczema ever at age years was associated with an increased risk of physician-diagnosed food allergy (5.78, 3.04-9.52), with the highest risk of cashew (7.36, 3.20-16.94) and peanut (5.58, 3.08-10.10) food allergy",DOID:2723,0.0,0.0,"eczema ever at age years was associated with an increased risk of physician-diagnosed food allergy (5.78, 3.04-9.52), with the highest risk of cashew (7.36, 3.20-16.94) and peanut (5.58, 3.08-10.10) food allergy"
308,308,extra-virgin olive oil,vascular disease,mechanisms of action of extra-virgin olive oil and its components in the prevention of vascular disease,DOID:178,0.0,1.0,mechanisms of action of extra-virgin olive oil and its components in the prevention of vascular disease
309,309,mediterranean diet,cardiovascular diseases,the mediterranean diet has been associated with lower mortality and lower risk of cardiovascular diseases and cancer,,0.0,1.0,the mediterranean diet has been associated with lower mortality and lower risk of cardiovascular diseases and cancer
310,310,food additives,foodallergies,"the article presents data on causally significant food allergens and food additives that cause the development of food allergies, as well as information on the main food proteins and their components involved in the formation of cross-reactivity.",,1.0,0.0,"the article presents data on causally significant food allergens and food additives that cause the development of food allergies, as well as information on the main food proteins and their components involved in the formation of cross-reactivity."
311,311,honeybush tea,hyperglycemia,the sequential extracts of honeybush tea (particularly the aqueous and ethyl acetate extracts) may not only exhibit antioxidant potentials but also mediate anti-hyperglycemia activities by inhibiting lipid and,DOID:4195,0.0,1.0,the sequential extracts of honeybush tea (particularly the aqueous and ethyl acetate extracts) may not only exhibit antioxidant potentials but also mediate anti-hyperglycemia activities by inhibiting lipid and
312,312,very-low-cho diets,weight loss,"historically, low-carbohydrate (cho) and very-low-cho diets have been used for weight loss",,1.0,0.0,"historically, low-carbohydrate (cho) and very-low-cho diets have been used for weight loss"
313,313,fava beans,haemotoxicity,"fava beans (fbs) have long been used as food, and their principal disadvantage is derived from their haemotoxicity",,1.0,0.0,"fava beans (fbs) have long been used as food, and their principal disadvantage is derived from their haemotoxicity"
314,314,raspberries,pain,"fruits, such as blueberries, raspberries and strawberries, and pomegranates have shown promising results in reducing pain and inflammation in experimental models",,0.0,1.0,"fruits, such as blueberries, raspberries and strawberries, and pomegranates have shown promising results in reducing pain and inflammation in experimental models"
315,315,eicosapentaenoic acid,metabolic disorders,"especially of marine origin, eicosapentaenoic acid (20:5n-3) and docosahexaenoic acid (22:6n-3), have always been lauded for their profound effects on regulating the risk factors for major metabolic disorders",,0.0,1.0,"especially of marine origin, eicosapentaenoic acid (20:5n-3) and docosahexaenoic acid (22:6n-3), have always been lauded for their profound effects on regulating the risk factors for major metabolic disorders"
316,316,mustard,allergies,"a great part of allergies in the united states; in spain and portugal are commonly due to fish, milk; in italy seafood and mustard in france",,1.0,0.0,"a great part of allergies in the united states; in spain and portugal are commonly due to fish, milk; in italy seafood and mustard in france"
317,317,peanut,anaphylaxis,peanut allergy affects 3% of australian children and has a higher risk of anaphylaxis than most food allergies,,1.0,0.0,peanut allergy affects 3% of australian children and has a higher risk of anaphylaxis than most food allergies
318,318,extra virgin olive oil,myocardial infarction,"in this context, extra virgin olive oil (evoo), the most representative component of this diet, seems to be relevant in lowering the incidence of cardiovascular events, including myocardial infarction and stroke",DOID:5844,0.0,1.0,"in this context, extra virgin olive oil (evoo), the most representative component of this diet, seems to be relevant in lowering the incidence of cardiovascular events, including myocardial infarction and stroke"
319,319,beer,inflammation,"hop-derived bitter compounds in beer, prevents inflammation and alzheimer's disease pathology in",,0.0,1.0,"hop-derived bitter compounds in beer, prevents inflammation and alzheimer's disease pathology in"
320,320,allium,cancers,of garlic and related allium foods against the development of certain human cancers,DOID:162,0.0,1.0,of garlic and related allium foods against the development of certain human cancers
321,321,ginger,alzheimer's disease,ginger has been reportedly used for the management or treatment of alzheimer's disease in folklore medicine,DOID:10652,0.0,1.0,ginger has been reportedly used for the management or treatment of alzheimer's disease in folklore medicine
322,322,extra-virgin olive oil,inflammatory diseases,a beneficial role of extra-virgin olive oil (evoo) in several inflammatory diseases,,0.0,1.0,a beneficial role of extra-virgin olive oil (evoo) in several inflammatory diseases
323,323,pistachio,allergic reactions,"pistachio and cashew nut, which belong to the same botanical family, are tree nuts that induce serious allergic reactions",,1.0,0.0,"pistachio and cashew nut, which belong to the same botanical family, are tree nuts that induce serious allergic reactions"
324,324,beer,chronic diseases,"in beer, the variety and concentration of bioactive compounds in the non-alcoholic fraction suggests that its consumption at moderate levels may not only be harmless but could also positively contribute to an improvement of certain physiological states and be also useful in the prevention of different chronic diseases",,0.0,1.0,"in beer, the variety and concentration of bioactive compounds in the non-alcoholic fraction suggests that its consumption at moderate levels may not only be harmless but could also positively contribute to an improvement of certain physiological states and be also useful in the prevention of different chronic diseases"
325,325,cabbage,migraine attacks,"migraine attacks have been produced most frequently by cow milk (in out of patients), cabbage, flour and eggs in patients",,1.0,0.0,"migraine attacks have been produced most frequently by cow milk (in out of patients), cabbage, flour and eggs in patients"
326,326,alcohol,obesity,"the association of obesity, physical inactivity and alcohol with elevated blood pressure (bp",DOID:9970,0.0,0.0,"the association of obesity, physical inactivity and alcohol with elevated blood pressure (bp"
327,327,pistachio,allergic,"pistachio and cashew contain allergenic proteins, which causes them to be removed from the diet of allergic people",,1.0,0.0,"pistachio and cashew contain allergenic proteins, which causes them to be removed from the diet of allergic people"
328,328,glycemic load (gl) diet,cardiovascular mortality,glycemic index (gi) and glycemic load (gl) diet are associated with a higher risk for metabolic complications and cardiovascular mortality,,1.0,0.0,glycemic index (gi) and glycemic load (gl) diet are associated with a higher risk for metabolic complications and cardiovascular mortality
329,329,poor nutrition,infections,"prevalence of iron deficiency, poor nutrition, infections and poor birth outcomes are",,0.0,0.0,"prevalence of iron deficiency, poor nutrition, infections and poor birth outcomes are"
330,330,lemon,alzheimer's disease,"the neuroprotective potentials of lemon and tangerine peels-derived eos, and the possibility of their exploration as neuroactive agents and alternative in the management of alzheimer's disease (ad",DOID:10652,0.0,1.0,"the neuroprotective potentials of lemon and tangerine peels-derived eos, and the possibility of their exploration as neuroactive agents and alternative in the management of alzheimer's disease (ad"
331,331,maslinic acid,hyperglycaemia,"ba), an isomer of maslinic acid, has been reported to ameliorate the intermediate hyperglycaemia found in prediabetes; however, the",,0.0,1.0,"ba), an isomer of maslinic acid, has been reported to ameliorate the intermediate hyperglycaemia found in prediabetes; however, the"
332,332,yogurt,cardiovascular disease,"including milk, cheese and yogurt, has been associated with better quality of diet and reduced risk of cardiovascular disease, the leading cause of death",,0.0,1.0,"including milk, cheese and yogurt, has been associated with better quality of diet and reduced risk of cardiovascular disease, the leading cause of death"
333,333,milk,lactation insufficiency,"lactation insufficiency is variously defined and includes the inability to produce milk, not producing enough milk to exclusively meet infant growth",,0.0,0.0,"lactation insufficiency is variously defined and includes the inability to produce milk, not producing enough milk to exclusively meet infant growth"
334,334,"salt (sodium chloride, nacl)",moisture loss,"salt (sodium chloride, nacl) is commonly used in ready-to-eat (rte) meat products such as biltong, a south african style dried beef product for flavor, enhanced moisture loss, and reduction of microbial growth",,1.0,0.0,"salt (sodium chloride, nacl) is commonly used in ready-to-eat (rte) meat products such as biltong, a south african style dried beef product for flavor, enhanced moisture loss, and reduction of microbial growth"
335,335,fruits,neurodegenerative diseases,"as those found in fruits and vegetables, may lower the risk of developing age-related neurodegenerative diseases such as parkinson's disease and",DOID:1289,0.0,1.0,"as those found in fruits and vegetables, may lower the risk of developing age-related neurodegenerative diseases such as parkinson's disease and"
336,336,eggs,atopic disease,"allergenic foods, including peanuts, eggs, and fish, beyond to months prevents atopic disease",,0.0,0.0,"allergenic foods, including peanuts, eggs, and fish, beyond to months prevents atopic disease"
337,337,chicken,infectious bronchitis virus,"infectious bronchitis virus (ibv), a gamma-coronavirus, causes infectious bronchitis (ib), a major respiratory disease of chicken",,0.0,0.0,"infectious bronchitis virus (ibv), a gamma-coronavirus, causes infectious bronchitis (ib), a major respiratory disease of chicken"
338,338,cinnamomum,dyspepsia,"cinnamomum cassia (c. cassia, lauraceae family), commonly used for treating dyspepsia, gastritis, blood circulation, and inflammatory",,0.0,1.0,"cinnamomum cassia (c. cassia, lauraceae family), commonly used for treating dyspepsia, gastritis, blood circulation, and inflammatory"
339,339,milk thistle extracts ,liver cirrhosis,"milk thistle extracts have been used as medicinal herbs in the treatment of liver cirrhosis, chronic hepatitis (liver inflammation), and",DOID:5082,0.0,1.0,"milk thistle extracts have been used as medicinal herbs in the treatment of liver cirrhosis, chronic hepatitis (liver inflammation), and"
340,340,garlic,hemolytic anemia,"from boiled onion and garlic, respectively, as causative agents of hemolytic anemia in dogs",DOID:583,1.0,0.0,"from boiled onion and garlic, respectively, as causative agents of hemolytic anemia in dogs"
341,341,breeder chickens,fadv-4 infection,"results showed that the fadv-4 infection rate was 65.2% (443/679), and the rate in breeder ducks was almost two-fold higher than that in breeder chickens (68.57% vs",,0.0,0.0,"results showed that the fadv-4 infection rate was 65.2% (443/679), and the rate in breeder ducks was almost two-fold higher than that in breeder chickens (68.57% vs"
342,342,olive oil,stroke,"mediterranean diet, high in olive oil, whole grains, fruits, vegetables and legumes, and low in cholesterol and saturated fat, can reduce stroke by 40% or more in high-risk",DOID:6713,0.0,1.0,"mediterranean diet, high in olive oil, whole grains, fruits, vegetables and legumes, and low in cholesterol and saturated fat, can reduce stroke by 40% or more in high-risk"
343,343,sugar,osteoporosis,"other ubiquitous white crystal, sugar, may lead to osteoporosis by increasing inflammation, hyperinsulinemia, increased",DOID:11476,1.0,0.0,"other ubiquitous white crystal, sugar, may lead to osteoporosis by increasing inflammation, hyperinsulinemia, increased"
344,344,ice,pagophagia,"pagophagia (compulsive ice chewing) is a particular form of pica that is characterized by ingestion of ice, freezer frost, or ice",,0.0,0.0,"pagophagia (compulsive ice chewing) is a particular form of pica that is characterized by ingestion of ice, freezer frost, or ice"
345,345,ginger,human ailments,"besides its food-additive functions, ginger has a long history of medicinal use for the treatment of a variety of human ailments including common colds, fever, rheumatic",,0.0,1.0,"besides its food-additive functions, ginger has a long history of medicinal use for the treatment of a variety of human ailments including common colds, fever, rheumatic"
346,346,calorie-dense diet,obesity,calorie-dense diet is a main driver of the global epidemics of obesity and type diabetes (t2dm,DOID:9970,1.0,0.0,calorie-dense diet is a main driver of the global epidemics of obesity and type diabetes (t2dm
347,347,citrus fruits,metabolic syndrome,citrus fruits are known for their beneficial health effects associated with the prevention of metabolic syndrome/type diabetes that is mainly,DOID:0014667,0.0,1.0,citrus fruits are known for their beneficial health effects associated with the prevention of metabolic syndrome/type diabetes that is mainly
348,348,psidium guajava,cancer,"psidium guajava is a promising functional food against cancer, owing to a variety of",,0.0,1.0,"psidium guajava is a promising functional food against cancer, owing to a variety of"
349,349,tea,coronary disease,"constituents of fruits, vegetables, tea, and wine, which may reduce coronary disease and cancer, are described",DOID:3393,0.0,1.0,"constituents of fruits, vegetables, tea, and wine, which may reduce coronary disease and cancer, are described"
350,350,food rich in saturated fat,chd,"postulates that consumption of food rich in saturated fat increases serum cholesterol levels, which increases risk of chd",,1.0,0.0,"postulates that consumption of food rich in saturated fat increases serum cholesterol levels, which increases risk of chd"
351,351,beer,cognitive impairment,"hop-derived bitter components in beer, prevent cognitive impairment in an alzheimer's disease mouse",,0.0,1.0,"hop-derived bitter components in beer, prevent cognitive impairment in an alzheimer's disease mouse"
352,352,drugs,cutis laxa,"in most cases, acquired cutis laxa is associated with neoplasms, drugs, and autoimmune diseases",DOID:3144,1.0,0.0,"in most cases, acquired cutis laxa is associated with neoplasms, drugs, and autoimmune diseases"
353,353,alcohol,hepatitis b,"risk factors include hepatitis b and c virus, cirrhosis, aflatoxin-contaminated food, alcohol, and diabetes",DOID:2043,0.0,0.0,"risk factors include hepatitis b and c virus, cirrhosis, aflatoxin-contaminated food, alcohol, and diabetes"
354,354,antiepileptic drugs,epilepsy,years and older with epilepsy face an increased risk of fracture associated both with age and with the use of antiepileptic drugs,DOID:1826,1.0,0.0,years and older with epilepsy face an increased risk of fracture associated both with age and with the use of antiepileptic drugs
355,355,docosahexaenoic acid,tumour,docosahexaenoic acid (dha) has been shown to reduce tumour growth in preclinical models when,,0.0,1.0,docosahexaenoic acid (dha) has been shown to reduce tumour growth in preclinical models when
356,356,gastrointestinal ( gi ) protective drugs,ra,patients with ra commonly use gastrointestinal (gi) protective drugs for treatment and prevention of drug-associated gi injuries.,,0.0,1.0,patients with ra commonly use gastrointestinal (gi) protective drugs for treatment and prevention of drug-associated gi injuries.
357,357,meat protein,heart disease,meat protein is associated with an increase in risk of heart disease,DOID:114,1.0,0.0,meat protein is associated with an increase in risk of heart disease
358,358,protein-containing dust,respiratory diseases,influence of protein-containing dust on the workers results in respiratory diseases,,1.0,0.0,influence of protein-containing dust on the workers results in respiratory diseases
359,359,sucrose,hyperuricaemia,"in addition to sucrose and high fructose corn syrup, fresh fruits also contain fructose, suggesting that patients with hyperuricaemia or gout might also avoid",,1.0,0.0,"in addition to sucrose and high fructose corn syrup, fresh fruits also contain fructose, suggesting that patients with hyperuricaemia or gout might also avoid"
360,360,olive oil,ckd,"effects in patients with ckd: increased fibre intake shifts the gut microbiota towards reduced production of uraemic toxins; plant fats, particularly olive oil, have anti-atherogenic effects; plant anions might mitigate metabolic acidosis and slow ckd progression; and as plant phosphorus",,0.0,1.0,"effects in patients with ckd: increased fibre intake shifts the gut microbiota towards reduced production of uraemic toxins; plant fats, particularly olive oil, have anti-atherogenic effects; plant anions might mitigate metabolic acidosis and slow ckd progression; and as plant phosphorus"
361,361,red yeast rice,coronary heart disease,"an extract derived from red yeast rice, is commonly employed as a traditional chinese medicine for treating coronary heart disease, improving endothelial function, decreasing blood",DOID:3393,0.0,1.0,"an extract derived from red yeast rice, is commonly employed as a traditional chinese medicine for treating coronary heart disease, improving endothelial function, decreasing blood"
362,362,refined sugars,obesity,"age, female sex, obesity, rapid weight loss, consumption of refined sugars, saturated fat, iron deficiency, vitamin",DOID:9970,0.0,0.0,"age, female sex, obesity, rapid weight loss, consumption of refined sugars, saturated fat, iron deficiency, vitamin"
363,363,garlic,carcinogenesis,"the health benefits of garlic, including inhibition of carcinogenesis, are supported by several epidemiologic",,0.0,1.0,"the health benefits of garlic, including inhibition of carcinogenesis, are supported by several epidemiologic"
364,364,additives to food and water,cancer,"such as pesticides, herbicides, additives to food and water, and electromagnetic fields threaten public health by promotion of cancer, heart disease and chronic diseases",,0.0,1.0,"such as pesticides, herbicides, additives to food and water, and electromagnetic fields threaten public health by promotion of cancer, heart disease and chronic diseases"
365,365,diets with high fat and carbohydrate content ,obesity,"among other factors, diets with high fat and carbohydrate content have been implicated in obesity",DOID:9970,1.0,0.0,"among other factors, diets with high fat and carbohydrate content have been implicated in obesity"
366,366,garlic,"stomach, colorectal, breast cancer","the protective effects of garlic in stomach, colorectal, breast cancer in humans",,0.0,1.0,"the protective effects of garlic in stomach, colorectal, breast cancer in humans"
367,367,milk,ovarian carcinoma,the intake of milk and milk products could increase the risk of ovarian carcinoma,DOID:4001,1.0,0.0,the intake of milk and milk products could increase the risk of ovarian carcinoma
368,368,alcohol,drug abuse,"or untreated cases of alcohol and drug abuse, medication which impairs driving competence",,0.0,0.0,"or untreated cases of alcohol and drug abuse, medication which impairs driving competence"
369,369,poor diet,obesity,"poor diet is responsible for more deaths worldwide than any other risk factor, and is a leading cause of obesity, type diabetes, and cardiovascular disease",DOID:9970,1.0,0.0,"poor diet is responsible for more deaths worldwide than any other risk factor, and is a leading cause of obesity, type diabetes, and cardiovascular disease"
370,370,cow's milk protein,allergy,"cow's milk protein allergy, which occurs in approximately 5-",,1.0,0.0,"cow's milk protein allergy, which occurs in approximately 5-"
371,371,traditional italian diet,myocardial infarction,"pennsylvania, usa) observed a traditional italian diet and maintained half the mortality rates from myocardial infarction compared with neighboring cities",DOID:5844,0.0,1.0,"pennsylvania, usa) observed a traditional italian diet and maintained half the mortality rates from myocardial infarction compared with neighboring cities"
372,372,coffee,hypertension,"who do not use coffee and tea (aor 1.52, 95%ci: 1.03-2.24) had significantly higher likelihood of hypertension",DOID:10763,0.0,1.0,"who do not use coffee and tea (aor 1.52, 95%ci: 1.03-2.24) had significantly higher likelihood of hypertension"
373,373,brassica rapa,hypoxia,"the tibetan turnip (brassica rapa l.) has a wide array of medicine properties including heat-clearing, detoxifying and anti-hypoxia as listed in the famous",,0.0,1.0,"the tibetan turnip (brassica rapa l.) has a wide array of medicine properties including heat-clearing, detoxifying and anti-hypoxia as listed in the famous"
374,374,beans,chronic diseases,beans can contribute to a food-first approach to healthy aging as they are nutrient-dense and can reduce the risk of chronic diseases,,0.0,1.0,beans can contribute to a food-first approach to healthy aging as they are nutrient-dense and can reduce the risk of chronic diseases
375,375,olive oil (,ad,oleocanthal (oc) and extra-virgin olive oil (evoo) at early ad stages before the onset of,,0.0,1.0,oleocanthal (oc) and extra-virgin olive oil (evoo) at early ad stages before the onset of
376,376,red wine,diabetes,"tea, red wine and cocoa are good sources of flavanols and these highly consumed foods might contribute to prevent diabetes",DOID:9351,0.0,1.0,"tea, red wine and cocoa are good sources of flavanols and these highly consumed foods might contribute to prevent diabetes"
377,377,docosahexaenoic acid,"cardiovascular, neurodegenerative","omega-3fas) such as docosahexaenoic acid (dha) and eicosapentanoic acid (epa), are active ingredient of fish oil, which have larger health benefits against various diseases including cardiovascular, neurodegenerative, cancers and bone diseases",,0.0,1.0,"omega-3fas) such as docosahexaenoic acid (dha) and eicosapentanoic acid (epa), are active ingredient of fish oil, which have larger health benefits against various diseases including cardiovascular, neurodegenerative, cancers and bone diseases"
378,378,ginger,obesity,ginger exerts protective effects on obesity and its complications,DOID:9970,0.0,1.0,ginger exerts protective effects on obesity and its complications
379,379,food consumption,body weight gain,"body weight gain, food consumption, and efficiency of food utilization",,0.0,0.0,"body weight gain, food consumption, and efficiency of food utilization"
380,380,almond,heart disease,"almond kernels contain phytochemicals with positive health effects in relation to heart disease, diabetes and obesity",DOID:114,0.0,1.0,"almond kernels contain phytochemicals with positive health effects in relation to heart disease, diabetes and obesity"
381,381,guava tea,diabetic,"polyphenols from coffee, guava tea, whortleberry, olive oil, propolis, chocolate, red wine, grape seed, and cocoa have been reported to show anti-diabetic effects in t2d patients",,0.0,1.0,"polyphenols from coffee, guava tea, whortleberry, olive oil, propolis, chocolate, red wine, grape seed, and cocoa have been reported to show anti-diabetic effects in t2d patients"
382,382,cocoa,cvd,"natural polyphenol-rich foods, and cocoa in particular, has been related to a reduced risk of cvd, including coronary heart disease and",,0.0,1.0,"natural polyphenol-rich foods, and cocoa in particular, has been related to a reduced risk of cvd, including coronary heart disease and"
383,383,beer,brain disorders,"beer, as part of this protective diet, contains compounds such as silicon and hops that could play a major role in preventing brain disorders",,0.0,1.0,"beer, as part of this protective diet, contains compounds such as silicon and hops that could play a major role in preventing brain disorders"
384,384,steroids,gastrointestinal perforation,"the causes of gastrointestinal perforation with collagen diseases have been reported to be functional gastrointestinal disorders with collagen diseases like amyloidosis, gastrointestinal infections in immunocompromised patients, and side effects of medication, such as steroids or nsaids and mtx",,1.0,0.0,"the causes of gastrointestinal perforation with collagen diseases have been reported to be functional gastrointestinal disorders with collagen diseases like amyloidosis, gastrointestinal infections in immunocompromised patients, and side effects of medication, such as steroids or nsaids and mtx"
385,385,iron rich foods,anaemia,delaying childbearing and introducing iron rich foods at six months of age may reduce the likelihood of anaemia in toddlerhood,DOID:2355,0.0,1.0,delaying childbearing and introducing iron rich foods at six months of age may reduce the likelihood of anaemia in toddlerhood
386,386,chicken protein hydrolysates ( cphs ),inflammation,chicken protein hydrolysates (cphs) generated from rest raw materials through enzymatic hydrolysis using corolase pp or alcalase were shown to reduce inflammation and stimulate hepatic mitochondrial fatty acid oxidation in high-fat-fed mice.,,0.0,1.0,chicken protein hydrolysates (cphs) generated from rest raw materials through enzymatic hydrolysis using corolase pp or alcalase were shown to reduce inflammation and stimulate hepatic mitochondrial fatty acid oxidation in high-fat-fed mice.
387,387,mediterranean diet,inflammation,a mediterranean diet (medi) style has been reported as associated with a lower degree of inflammation biomarkers and with a protective,,0.0,1.0,a mediterranean diet (medi) style has been reported as associated with a lower degree of inflammation biomarkers and with a protective
388,388,ginger,alzheimer disease,"components of ginger (zingiber officinale) extracts have been described as potential new drug candidates against alzheimer disease (ad), able to interact with",,0.0,1.0,"components of ginger (zingiber officinale) extracts have been described as potential new drug candidates against alzheimer disease (ad), able to interact with"
389,389,peanut,allergy,peanut allergy that affects 1.4-4.5% of north,,1.0,0.0,peanut allergy that affects 1.4-4.5% of north
390,390,selective nutrition,malnutrition,selective nutrition therapy for asd and brain function shows improvement in behavioral changes and reduction in malnutrition seemingly associated with the allergies,,0.0,1.0,selective nutrition therapy for asd and brain function shows improvement in behavioral changes and reduction in malnutrition seemingly associated with the allergies
391,391,flour,diabetes,"food-additive, intaken daily through flour causes diabetes and genotoxicity by inducing chromosomal-aberration",DOID:9351,1.0,0.0,"food-additive, intaken daily through flour causes diabetes and genotoxicity by inducing chromosomal-aberration"
392,392,garlic intake,cancer,for a relation between garlic intake and cancer risk reduction,,0.0,1.0,for a relation between garlic intake and cancer risk reduction
393,393,cabbage,allergic,"berries, apples, cauliflower, tea, cabbage, nuts, and onions that have traditionally been treated as anticancer and antiviral, and used for the treatment of allergic, metabolic, and inflammatory disorders, eye",,0.0,1.0,"berries, apples, cauliflower, tea, cabbage, nuts, and onions that have traditionally been treated as anticancer and antiviral, and used for the treatment of allergic, metabolic, and inflammatory disorders, eye"
394,394,wheat flour,occupational respiratory allergies,exposure to wheat flour and guar gum is a well-known cause of occupational respiratory allergies among workers in the food,,1.0,0.0,exposure to wheat flour and guar gum is a well-known cause of occupational respiratory allergies among workers in the food
395,395,wine,cognitive decline,role for grapes or wine in slowing cognitive decline and other effects of aging,,0.0,1.0,role for grapes or wine in slowing cognitive decline and other effects of aging
396,396,fruits,allergy,severe allergy to fruits mediated by a kda allergen,,1.0,0.0,severe allergy to fruits mediated by a kda allergen
397,397,myrciaria cauliflora (jaboticaba),respiratory diseases,"myrciaria cauliflora (jaboticaba) is an edible fruit common in brazil that has been used for treating respiratory diseases, including chronic tonsillitis and asthma",,0.0,1.0,"myrciaria cauliflora (jaboticaba) is an edible fruit common in brazil that has been used for treating respiratory diseases, including chronic tonsillitis and asthma"
398,398,honey-bee pollen mix (hbm),asthma,"honey-bee pollen mix (hbm) formulation is claimed to be effective for the treatment of asthma, bronchitis, cancers, peptic ulcers, colitis",DOID:2841,0.0,1.0,"honey-bee pollen mix (hbm) formulation is claimed to be effective for the treatment of asthma, bronchitis, cancers, peptic ulcers, colitis"
399,399,milk,mastitis,"leading cause of clinical mastitis and is associated with persistent subclinical infections in ewes, significantly compromising the quality and quantity of milk productions",DOID:10690,0.0,0.0,"leading cause of clinical mastitis and is associated with persistent subclinical infections in ewes, significantly compromising the quality and quantity of milk productions"
400,400,high-salt ( hs ) diets,hypertension,high-salt (hs) diets are associated with hypertension and cardiac remodelling.,DOID:10763,1.0,0.0,high-salt (hs) diets are associated with hypertension and cardiac remodelling.
401,401,extra-virgin olive oil,cardiovascular and neurodegenerative diseases,"the phenolic compounds of extra-virgin olive oil can act at various levels to protect individuals against cardiovascular and neurodegenerative diseases, cancer, and osteoporosis, among others",,0.0,1.0,"the phenolic compounds of extra-virgin olive oil can act at various levels to protect individuals against cardiovascular and neurodegenerative diseases, cancer, and osteoporosis, among others"
402,402,olive oil,rheumatoid arthritis,"showed that risk of rheumatoid arthritis (ra) is inversely associated with consumption of n-3 fatty acids, the one study showing that olive oil may have a protective role",DOID:7148,0.0,0.0,"showed that risk of rheumatoid arthritis (ra) is inversely associated with consumption of n-3 fatty acids, the one study showing that olive oil may have a protective role"
403,403,mediterranean diet,asthma,"evidence for associations between mediterranean diet during pregnancy and childhood asthma, allergy and related outcomes is",DOID:2841,0.0,0.0,"evidence for associations between mediterranean diet during pregnancy and childhood asthma, allergy and related outcomes is"
404,404,arctic charr (salvelinus alpinus),skin redness,"using arctic charr (salvelinus alpinus) as model species, we hypothesized that skin redness and allocation of carotenoids between",,0.0,0.0,"using arctic charr (salvelinus alpinus) as model species, we hypothesized that skin redness and allocation of carotenoids between"
405,405,annona muricata,neurological syndrome,of the tropical plant annona muricata (soursop) plays a role in the neurological syndrome,,0.0,0.0,of the tropical plant annona muricata (soursop) plays a role in the neurological syndrome
406,406,garlic,colon cancer,"grape, soybean, green tea, garlic, olive, and pomegranate are the most effective plants against colon cancer",DOID:219,0.0,1.0,"grape, soybean, green tea, garlic, olive, and pomegranate are the most effective plants against colon cancer"
407,407,shrimp,infectious salmon anaemia,"of fish (e.g. infectious salmon anaemia, viral haemorrhagic septicaemia) and shrimp (e.g. white spot syndrome",,0.0,0.0,"of fish (e.g. infectious salmon anaemia, viral haemorrhagic septicaemia) and shrimp (e.g. white spot syndrome"
408,408,morus alba,stroke,mulberry (morus alba l.) leaves are widely used as herbal tea to prevent heat stroke,DOID:6713,0.0,1.0,mulberry (morus alba l.) leaves are widely used as herbal tea to prevent heat stroke
409,409,virgin olive oil,osteoporotic fractures,"virgin olive oil, a key component of the mediterranean diet (mdiet), with recognised beneficial effects on metabolism and cardiovascular health, may decrease the risk of osteoporotic fractures",,0.0,1.0,"virgin olive oil, a key component of the mediterranean diet (mdiet), with recognised beneficial effects on metabolism and cardiovascular health, may decrease the risk of osteoporotic fractures"
410,410,gluten-free diet,gastrointestinal symptoms,"evidence shows that a gluten-free diet may be beneficial for some patients with gastrointestinal symptoms, such as those symptoms commonly",,0.0,1.0,"evidence shows that a gluten-free diet may be beneficial for some patients with gastrointestinal symptoms, such as those symptoms commonly"
411,411,regular-fish oil,bone loss,preventive effect of high-dose (9%) regular-fish oil (fo) against bone loss during aging has been demonstrated,,0.0,1.0,preventive effect of high-dose (9%) regular-fish oil (fo) against bone loss during aging has been demonstrated
412,412,meat,dyslipidemia,"higher scores of the meat-convenience dietary pattern (high intake of deep-fried and processed food, sauces, sugar-added beverages, meat and organ meats, instant noodles, rice or flour cooked in oil, and eggs) had no association with components of dyslipidemia and abnormal fpg",DOID:3146,0.0,0.0,"higher scores of the meat-convenience dietary pattern (high intake of deep-fried and processed food, sauces, sugar-added beverages, meat and organ meats, instant noodles, rice or flour cooked in oil, and eggs) had no association with components of dyslipidemia and abnormal fpg"
413,413,anti-inflammatory drugs,ad,"thus, anti-inflammatory drugs in this asymptomatic initial phase could slow down ad progression, provided they enter the",,0.0,1.0,"thus, anti-inflammatory drugs in this asymptomatic initial phase could slow down ad progression, provided they enter the"
414,414,quercus liaotungensis koidz,diarrhea,"acorn obtained from the quercus liaotungensis koidz tree is consumed as a chinese folk medicine for the treatment of diarrhea, abdominal pain, and inflammation, also",DOID:13250,0.0,1.0,"acorn obtained from the quercus liaotungensis koidz tree is consumed as a chinese folk medicine for the treatment of diarrhea, abdominal pain, and inflammation, also"
415,415,wheat flour,rhinitis,sensitization to inhaled wheat flour may lead to occupational rhinitis and/or asthma,DOID:4483,1.0,0.0,sensitization to inhaled wheat flour may lead to occupational rhinitis and/or asthma
